"Bill Matthews",,,,
"Brian Brown",,,,
"Cahal Newcombe",,,,
"Cathal Crumley",,,,
"Eamon Melaugh",,,,
"Edward McIvor",,,,
"Grace Stevenson",,,,
"Ita Breen",,,,
"Jackson Taggart",,,,
"John Hamill",,,,
"John Williamson","Q14946726","2011 Canadian federal election","New Brunswick Southwest","Conservative Party of Canada"
"John Williamson","Q14946726","2015 Canadian federal election","New Brunswick Southwest","Conservative Party of Canada"
"John Williamson","Q14946726","2019 Canadian federal election",,
"Liam Gallagher",,,,
"Pat Devine",,,,
"Patrick Kealey",,,,
"Paul Baxter",,,,
"Randall Crawford",,,,
"Thomas Fleming",,,,
"Thomas Hagan",,,,
"William Norris",,,,
